coords,alt,time
"(42.75688, -1.715011)",548.188,2017-04-29 14:25:46+00:00
"(42.753345, -1.718056)",583.977,2017-04-29 14:35:19+00:00
"(42.752385, -1.718493)",599.881,2017-04-29 14:37:38+00:00
"(42.751895, -1.71905)",607.368,2017-04-29 14:39:58+00:00
"(42.751969, -1.718924)",606.824,2017-04-29 14:40:33+00:00
"(42.751863, -1.719042)",607.504,2017-04-29 14:41:15+00:00
"(42.751797, -1.718911)",607.614,2017-04-29 14:42:01+00:00
"(42.751853, -1.719079)",607.608,2017-04-29 14:42:32+00:00
"(42.751302, -1.719622)",604.333,2017-04-29 14:42:52+00:00
"(42.75046, -1.719867)",600.461,2017-04-29 14:43:05+00:00
"(42.75008, -1.719731)",602.998,2017-04-29 14:43:17+00:00
"(42.749809, -1.719885)",603.548,2017-04-29 14:43:27+00:00
"(42.748069, -1.722991)",623.145,2017-04-30 05:39:55+00:00
"(42.747358, -1.723406)",627.594,2017-04-30 05:40:56+00:00
"(42.746263, -1.723579)",630.418,2017-04-30 05:42:15+00:00
"(42.745165, -1.724669)",627.465,2017-04-30 05:42:50+00:00
"(42.743328, -1.725985)",627.467,2017-04-30 05:43:42+00:00
"(42.743101, -1.726503)",629.781,2017-04-30 05:43:58+00:00
"(42.741974, -1.727414)",660.419,2017-04-30 05:47:32+00:00
"(42.742006, -1.728139)",665.308,2017-04-30 05:48:29+00:00
"(42.741862, -1.728494)",666.657,2017-04-30 05:48:46+00:00
"(42.741237, -1.729278)",672.725,2017-04-30 05:50:11+00:00
"(42.740519, -1.729614)",682.542,2017-04-30 05:51:03+00:00
"(42.740398, -1.730999)",690.432,2017-04-30 05:52:24+00:00
"(42.739644, -1.732018)",699.239,2017-04-30 05:53:53+00:00
"(42.739313, -1.733052)",706.448,2017-04-30 05:54:53+00:00
"(42.738795, -1.733809)",710.732,2017-04-30 05:55:43+00:00
"(42.7381, -1.735414)",715.549,2017-04-30 05:56:40+00:00
"(42.737232, -1.738788)",731.143,2017-04-30 05:59:17+00:00
"(42.736449, -1.739826)",743.864,2017-04-30 06:00:32+00:00
"(42.736221, -1.740375)",750.31,2017-04-30 06:01:07+00:00
"(42.735877, -1.741703)",764.708,2017-04-30 06:03:10+00:00
"(42.735884, -1.742516)",761.795,2017-04-30 06:05:21+00:00
"(42.735693, -1.742523)",764.813,2017-04-30 06:06:13+00:00
"(42.735851, -1.742609)",763.98,2017-04-30 06:06:57+00:00
"(42.735866, -1.742445)",763.11,2017-04-30 06:07:38+00:00
"(42.735704, -1.74248)",765.267,2017-04-30 06:09:12+00:00
"(42.7357, -1.742889)",762.586,2017-04-30 06:09:34+00:00
"(42.735676, -1.7428)",762.62,2017-04-30 06:09:44+00:00
"(42.735871, -1.742556)",762.687,2017-04-30 06:10:24+00:00
"(42.735691, -1.742664)",763.873,2017-04-30 06:11:13+00:00
"(42.736098, -1.745336)",758.785,2017-04-30 06:16:46+00:00
"(42.736279, -1.747966)",751.013,2017-04-30 06:17:15+00:00
"(42.737438, -1.750788)",744.108,2017-04-30 06:17:47+00:00
"(42.740326, -1.763055)",693.468,2017-04-30 06:19:18+00:00
"(42.740458, -1.765179)",676.126,2017-04-30 06:19:32+00:00
"(42.740877, -1.766095)",677.973,2017-04-30 06:19:41+00:00
"(42.741197, -1.766199)",674.363,2017-04-30 06:19:45+00:00
"(42.741455, -1.766093)",671.98,2017-04-30 06:19:48+00:00
"(42.741651, -1.765694)",669.799,2017-04-30 06:19:52+00:00
"(42.741667, -1.76495)",665.813,2017-04-30 06:20:01+00:00
"(42.740918, -1.765286)",672.43,2017-04-30 06:20:34+00:00
"(42.740413, -1.765276)",674.592,2017-04-30 06:20:52+00:00
"(42.738389, -1.764868)",664.173,2017-04-30 06:21:32+00:00
"(42.736886, -1.763972)",648.92,2017-04-30 06:21:48+00:00
"(42.735324, -1.763508)",635.208,2017-04-30 06:22:03+00:00
"(42.73446, -1.763392)",626.87,2017-04-30 06:22:12+00:00
"(42.732916, -1.763496)",610.198,2017-04-30 06:22:26+00:00
"(42.731829, -1.763974)",597.215,2017-04-30 06:22:35+00:00
"(42.730222, -1.765617)",580.125,2017-04-30 06:22:50+00:00
"(42.729264, -1.766159)",572.312,2017-04-30 06:22:59+00:00
"(42.727069, -1.766396)",554.571,2017-04-30 06:23:19+00:00
"(42.724718, -1.767518)",534.835,2017-04-30 06:23:42+00:00
"(42.719837, -1.768871)",500.492,2017-04-30 06:24:30+00:00
"(42.718937, -1.769467)",499.054,2017-04-30 06:24:42+00:00
"(42.717636, -1.769493)",494.756,2017-04-30 06:24:58+00:00
"(42.716556, -1.769769)",495.811,2017-04-30 06:25:17+00:00
"(42.715412, -1.769809)",497.208,2017-04-30 06:25:39+00:00
"(42.714557, -1.770161)",491.846,2017-04-30 06:25:55+00:00
"(42.697045, -1.78785)",411.274,2017-04-30 06:30:22+00:00
"(42.694708, -1.790006)",398.921,2017-04-30 06:31:00+00:00
"(42.694136, -1.790281)",396.951,2017-04-30 06:31:08+00:00
"(42.69398, -1.790464)",396.128,2017-04-30 06:31:11+00:00
"(42.693941, -1.791023)",396.057,2017-04-30 06:31:18+00:00
"(42.693312, -1.791284)",394.971,2017-04-30 06:31:29+00:00
"(42.675848, -1.807372)",354.258,2017-04-30 06:37:01+00:00
"(42.673609, -1.810439)",351.636,2017-04-30 06:38:00+00:00
"(42.673432, -1.810385)",350.517,2017-04-30 06:39:03+00:00
"(42.673443, -1.810546)",350.818,2017-04-30 06:40:01+00:00
"(42.673562, -1.81036)",351.108,2017-04-30 06:41:45+00:00
"(42.673417, -1.810679)",350.694,2017-04-30 06:43:14+00:00
"(42.673461, -1.810496)",350.822,2017-04-30 06:44:28+00:00
"(42.673201, -1.810494)",349.469,2017-04-30 06:45:02+00:00
"(42.673124, -1.810626)",349.169,2017-04-30 06:45:07+00:00
"(42.672196, -1.813876)",346.066,2017-04-30 06:46:27+00:00
"(42.671504, -1.817966)",342.635,2017-04-30 06:47:51+00:00
"(42.670872, -1.819354)",341.819,2017-04-30 06:49:30+00:00
"(42.670081, -1.819165)",342.716,2017-04-30 06:50:17+00:00
"(42.669807, -1.818878)",340.911,2017-04-30 06:50:32+00:00
"(42.669245, -1.81958)",342.121,2017-04-30 06:50:55+00:00
"(42.668889, -1.820482)",343.003,2017-04-30 06:51:16+00:00
"(42.667858, -1.82409)",342.108,2017-04-30 06:52:24+00:00
"(42.667037, -1.826365)",339.912,2017-04-30 06:53:07+00:00
"(42.666751, -1.826782)",341.19,2017-04-30 06:53:16+00:00
"(42.666398, -1.828696)",338.477,2017-04-30 06:54:07+00:00
"(42.665851, -1.82982)",337.737,2017-04-30 06:54:30+00:00
"(42.665484, -1.831357)",338.134,2017-04-30 06:55:00+00:00
"(42.664408, -1.833883)",338.223,2017-04-30 06:55:51+00:00
"(42.663973, -1.837545)",343.597,2017-04-30 06:57:10+00:00
"(42.663635, -1.838663)",345.744,2017-04-30 06:57:35+00:00
"(42.663551, -1.839789)",350.263,2017-04-30 06:58:10+00:00
"(42.662071, -1.841852)",342.944,2017-04-30 06:59:03+00:00
"(42.66131, -1.844813)",341.518,2017-04-30 07:00:13+00:00
"(42.661559, -1.845502)",340.408,2017-04-30 07:00:44+00:00
"(42.662617, -1.846665)",362.417,2017-04-30 07:02:36+00:00
"(42.663935, -1.847162)",373.035,2017-04-30 07:04:03+00:00
"(42.665173, -1.848242)",388.622,2017-04-30 07:05:57+00:00
"(42.665806, -1.848993)",401.282,2017-04-30 07:07:48+00:00
"(42.666061, -1.85066)",421.879,2017-04-30 07:10:01+00:00
"(42.667228, -1.853538)",462.598,2017-04-30 07:15:54+00:00
"(42.667987, -1.857143)",468.282,2017-04-30 07:21:30+00:00
"(42.669288, -1.859665)",467.019,2017-04-30 07:22:45+00:00
"(42.668864, -1.863673)",449.174,2017-04-30 07:24:32+00:00
"(42.668699, -1.863707)",448.756,2017-04-30 07:26:09+00:00
"(42.668776, -1.865285)",450.421,2017-04-30 07:26:41+00:00
"(42.669039, -1.867505)",458.608,2017-04-30 07:27:43+00:00
"(42.669435, -1.868997)",453.998,2017-04-30 07:28:08+00:00
"(42.669348, -1.870074)",455.496,2017-04-30 07:28:26+00:00
"(42.670524, -1.873457)",452.913,2017-04-30 07:29:57+00:00
"(42.671204, -1.876582)",445.263,2017-04-30 07:30:49+00:00
"(42.670942, -1.877906)",444.72,2017-04-30 07:31:48+00:00
"(42.671183, -1.879555)",437.919,2017-04-30 07:32:25+00:00
"(42.672002, -1.881064)",441.283,2017-04-30 07:33:32+00:00
"(42.674113, -1.883633)",454.23,2017-04-30 07:35:48+00:00
"(42.674875, -1.885564)",465.637,2017-04-30 07:37:35+00:00
"(42.675274, -1.887486)",468.049,2017-04-30 07:39:48+00:00
"(42.675657, -1.888484)",467.013,2017-04-30 07:40:05+00:00
"(42.676376, -1.889016)",467.008,2017-04-30 07:40:31+00:00
"(42.676711, -1.887263)",471.754,2017-04-30 07:41:32+00:00
"(42.677766, -1.889719)",459.112,2017-04-30 07:42:13+00:00
"(42.678141, -1.891019)",456.229,2017-04-30 07:42:25+00:00
"(42.67819, -1.892237)",455.429,2017-04-30 07:42:36+00:00
"(42.677596, -1.896621)",454.276,2017-04-30 07:43:29+00:00
"(42.676856, -1.899423)",437.145,2017-04-30 07:43:55+00:00
"(42.675383, -1.903745)",417.969,2017-04-30 07:44:27+00:00
"(42.673912, -1.906047)",408.756,2017-04-30 07:44:48+00:00
"(42.673431, -1.90708)",406.129,2017-04-30 07:44:56+00:00
"(42.673132, -1.908237)",396.7,2017-04-30 07:45:04+00:00
"(42.673031, -1.909423)",392.12,2017-04-30 07:45:12+00:00
"(42.67315, -1.910767)",383.508,2017-04-30 07:45:21+00:00
"(42.673668, -1.912816)",376.543,2017-04-30 07:45:34+00:00
"(42.676487, -1.921357)",384.511,2017-04-30 07:47:21+00:00
"(42.677127, -1.922965)",388.558,2017-04-30 07:47:57+00:00
"(42.678551, -1.925143)",384.498,2017-04-30 07:48:40+00:00
"(42.679125, -1.92656)",382.055,2017-04-30 07:48:55+00:00
"(42.679269, -1.927799)",382.844,2017-04-30 07:49:07+00:00
"(42.678798, -1.930915)",385.778,2017-04-30 07:49:53+00:00
"(42.678903, -1.93371)",395.025,2017-04-30 07:50:59+00:00
"(42.678695, -1.936814)",411.846,2017-04-30 07:53:21+00:00
"(42.678146, -1.939199)",423.388,2017-04-30 07:55:35+00:00
"(42.677621, -1.939899)",429.116,2017-04-30 07:56:15+00:00
"(42.676275, -1.941065)",437.408,2017-04-30 07:57:41+00:00
"(42.675767, -1.941779)",442.395,2017-04-30 07:58:23+00:00
"(42.674857, -1.94475)",449.993,2017-04-30 08:00:51+00:00
"(42.672995, -1.945866)",449.48,2017-04-30 08:01:58+00:00
"(42.670685, -1.948861)",461.34,2017-04-30 08:04:30+00:00
"(42.670425, -1.948931)",462.527,2017-04-30 08:05:53+00:00
"(42.670393, -1.949392)",465.076,2017-04-30 08:07:41+00:00
"(42.670101, -1.949156)",466.28,2017-04-30 08:08:07+00:00
"(42.670313, -1.949064)",463.227,2017-04-30 08:08:34+00:00
"(42.670116, -1.949023)",466.156,2017-04-30 08:08:44+00:00
"(42.670262, -1.949072)",463.659,2017-04-30 08:08:56+00:00
"(42.670173, -1.949054)",465.114,2017-04-30 08:09:06+00:00
"(42.670421, -1.948845)",462.508,2017-04-30 08:09:23+00:00
"(42.670738, -1.948903)",461.856,2017-04-30 08:10:04+00:00
"(42.670504, -1.949022)",462.244,2017-04-30 08:10:19+00:00
"(42.670404, -1.94882)",462.651,2017-04-30 08:10:51+00:00
"(42.67052, -1.948918)",461.621,2017-04-30 08:11:15+00:00
"(42.670414, -1.949144)",463.048,2017-04-30 08:17:31+00:00
"(42.670506, -1.949007)",462.297,2017-04-30 08:26:55+00:00
"(42.670567, -1.949146)",463.041,2017-04-30 08:28:46+00:00
"(42.669617, -1.950483)",471.538,2017-04-30 08:30:30+00:00
"(42.668708, -1.952809)",479.963,2017-04-30 08:32:00+00:00
"(42.667871, -1.955454)",480.044,2017-04-30 08:33:03+00:00
"(42.6666, -1.960879)",491.518,2017-04-30 08:35:54+00:00
"(42.666392, -1.960993)",492.808,2017-04-30 08:36:04+00:00
"(42.665991, -1.960783)",491.957,2017-04-30 08:36:18+00:00
"(42.665731, -1.960929)",489.955,2017-04-30 08:36:38+00:00
"(42.664694, -1.96316)",482.892,2017-04-30 08:37:26+00:00
"(42.664547, -1.963909)",479.882,2017-04-30 08:37:40+00:00
"(42.664672, -1.965727)",474.319,2017-04-30 08:38:00+00:00
"(42.664401, -1.969105)",463.818,2017-04-30 08:38:33+00:00
"(42.663925, -1.970737)",457.752,2017-04-30 08:38:52+00:00
"(42.663775, -1.975209)",449.249,2017-04-30 08:39:37+00:00
"(42.663629, -1.975601)",448.237,2017-04-30 08:39:44+00:00
"(42.663248, -1.975621)",446.549,2017-04-30 08:39:54+00:00
"(42.663002, -1.976454)",444.213,2017-04-30 08:40:07+00:00
"(42.663722, -1.979747)",437.908,2017-04-30 08:40:47+00:00
"(42.663711, -1.980485)",436.914,2017-04-30 08:40:57+00:00
"(42.663477, -1.981368)",436.022,2017-04-30 08:41:11+00:00
"(42.663598, -1.986674)",430.079,2017-04-30 08:42:21+00:00
"(42.662988, -1.98746)",428.059,2017-04-30 08:42:36+00:00
"(42.662188, -1.989068)",426.086,2017-04-30 08:42:58+00:00
"(42.661591, -1.989771)",425.115,2017-04-30 08:43:11+00:00
"(42.66128, -1.989913)",424.759,2017-04-30 08:43:18+00:00
"(42.661328, -1.990593)",425.676,2017-04-30 08:43:31+00:00
"(42.660456, -1.990979)",423.683,2017-04-30 08:43:52+00:00
"(42.660343, -1.990922)",423.225,2017-04-30 08:44:55+00:00
"(42.660059, -1.991307)",421.517,2017-04-30 08:45:04+00:00
"(42.659407, -1.991629)",419.908,2017-04-30 08:45:18+00:00
"(42.659304, -1.992133)",420.049,2017-04-30 08:45:34+00:00
"(42.6588, -1.99236)",421.797,2017-04-30 08:45:51+00:00
"(42.658226, -1.994047)",436.434,2017-04-30 08:47:20+00:00
"(42.658404, -1.994587)",439.624,2017-04-30 08:47:54+00:00
"(42.659007, -1.995238)",440.151,2017-04-30 08:48:25+00:00
"(42.659081, -1.995062)",440.84,2017-04-30 08:51:06+00:00
"(42.658951, -1.995056)",440.814,2017-04-30 08:53:47+00:00
"(42.65931, -1.995385)",440.391,2017-04-30 08:54:09+00:00
"(42.659743, -1.996298)",441.065,2017-04-30 08:54:27+00:00
"(42.660642, -1.999388)",440.968,2017-04-30 08:55:23+00:00
"(42.660993, -2.002053)",446.614,2017-04-30 08:56:23+00:00
"(42.661399, -2.002895)",449.508,2017-04-30 08:56:49+00:00
"(42.661223, -2.005859)",444.137,2017-04-30 08:58:18+00:00
"(42.661505, -2.006514)",435.695,2017-04-30 08:58:36+00:00
"(42.661225, -2.006765)",434.682,2017-04-30 08:58:47+00:00
"(42.661246, -2.007333)",431.752,2017-04-30 08:59:02+00:00
"(42.66104, -2.007715)",424.389,2017-04-30 08:59:12+00:00
"(42.660243, -2.008003)",420.488,2017-04-30 08:59:32+00:00
"(42.659844, -2.008306)",415.132,2017-04-30 08:59:42+00:00
"(42.660363, -2.00875)",409.839,2017-04-30 08:59:57+00:00
"(42.660642, -2.009245)",408.725,2017-04-30 09:01:42+00:00
"(42.66078, -2.010111)",412.726,2017-04-30 09:02:08+00:00
"(42.661338, -2.011287)",421.908,2017-04-30 09:03:10+00:00
"(42.662372, -2.012015)",431.108,2017-04-30 09:04:37+00:00
"(42.663378, -2.013458)",430.883,2017-04-30 09:05:16+00:00
"(42.663358, -2.014998)",426.971,2017-04-30 09:05:34+00:00
"(42.66293, -2.017172)",422.728,2017-04-30 09:06:06+00:00
"(42.662578, -2.018114)",420.438,2017-04-30 09:06:24+00:00
"(42.662622, -2.018978)",424.615,2017-04-30 09:06:50+00:00
