coords,alt,time
"(42.878524, -1.565631)",470.726,2017-04-29 11:13:50+00:00
"(42.878591, -1.566038)",474.955,2017-04-29 11:15:38+00:00
"(42.878463, -1.566334)",477.659,2017-04-29 11:17:50+00:00
"(42.87368, -1.569334)",477.456,2017-04-29 11:19:48+00:00
"(42.873397, -1.569183)",475.381,2017-04-29 11:19:56+00:00
"(42.872727, -1.569477)",474.361,2017-04-29 11:20:09+00:00
"(42.8712, -1.569095)",469.017,2017-04-29 11:21:06+00:00
"(42.870483, -1.569247)",468.708,2017-04-29 11:21:25+00:00
"(42.869638, -1.568922)",470.559,2017-04-29 11:21:47+00:00
"(42.86785, -1.568801)",476.127,2017-04-29 11:22:54+00:00
"(42.865965, -1.569577)",478.514,2017-04-29 11:24:32+00:00
"(42.865482, -1.569959)",479.614,2017-04-29 11:25:30+00:00
"(42.865367, -1.569778)",485.111,2017-04-29 11:25:45+00:00
